family_income_category,parent_education_level,prior_academic_performance,school_resources_rating,distance_to_school_km,transportation_access,special_education_needs,language_barrier,family_support,peer_influence,extracurricular_participation,school_climate,attendance_rate,dropout_probability
Upper Middle,High School,3.421884053705442,Poor,9.123773248916397,None,Severe,None,High,Negative,Some,Excellent,86.40442339327471,0.16012186485489388
Low Income,Some College,2.013975926038801,Fair,4.646209131613905,Walk,Mild,None,High,Negative,Active,Good,59.16885420182492,0.5913903482876343
Low Income,Less than HS,2.907434487402419,Poor,14.625268310165932,None,Mild,None,High,Positive,Some,Toxic,96.85164541894616,0.4591196477392955
Upper Middle,Graduate,2.193815835645026,Poor,15.943093529579691,,Severe,None,None,Positive,Active,Fair,90.60876619800328,0.8650966649554133
Below Poverty,Some College,2.0428358746635595,,,Car,Mild,None,Low,Negative,Active,Excellent,87.44894820078306,0.8119918216151643
Below Poverty,Some College,3.0382207906060064,Excellent,24.565878877270713,Walk,Mild,Minor,Moderate,Positive,Some,Excellent,84.27769408959557,0.4825361212147403
Low Income,High School,,Fair,1.8681952082366213,Walk,Mild,Major,Moderate,Positive,None,Fair,58.39139754770352,0.426989208308613
Wealthy,Bachelor,3.665589632991283,Excellent,7.749190402546192,Car,Severe,Major,,Positive,None,Fair,95.40863777274262,0.4195317013352424
Below Poverty,Bachelor,3.7031287254086784,Fair,28.59796140461802,None,Mild,None,High,Positive,Active,Fair,77.25002575802581,0.5834787128745299
Below Poverty,Graduate,1.6961401134213197,Excellent,6.784419305057915,None,Mild,None,High,Neutral,Active,Fair,55.259900229579095,0.5141862237362949
Low Income,Bachelor,2.30773613952919,Excellent,16.44546362150807,,Moderate,None,High,Positive,None,Excellent,96.44258223868268,0.5166924726859111
Middle Class,High School,2.731436668867746,Poor,3.4458123304701016,Bus,None,Major,Low,Negative,Active,Toxic,82.32779413873061,0.7821692581952471
Below Poverty,Less than HS,3.8015919038175867,Excellent,1.8371238432787274,,Mild,Minor,High,Negative,None,Fair,,
Middle Class,Graduate,3.9124361909292453,Good,25.170872992199712,Walk,Mild,Major,None,Positive,None,Good,77.3134909083514,0.912259868885133
Below Poverty,Bachelor,3.468737513813008,Excellent,,None,Mild,Minor,Moderate,Neutral,Active,Fair,91.71365499334526,0.5651970403621391
Wealthy,Some College,,Poor,2.9089604594090206,Walk,None,Major,Low,Negative,Some,Fair,92.90725333802845,
Low Income,Bachelor,2.5581755975178444,Fair,,Walk,Mild,Major,Low,Negative,Some,Excellent,,0.9045134728611919
Upper Middle,High School,1.9489559395843168,Poor,14.251869387710153,Bus,Moderate,Minor,None,Negative,Some,Excellent,,0.3907770313763944
Upper Middle,Graduate,3.1759074168862864,Poor,5.464705574393063,Car,Severe,Minor,None,Neutral,Active,Good,78.40317352288159,0.9331012507987119
Wealthy,,3.083642174532029,Excellent,13.23035984891708,Car,Severe,Minor,Low,Neutral,Some,Fair,54.37522110608451,0.43234670702408395
Low Income,Some College,3.445560730366797,Excellent,17.95654875782947,None,Severe,Major,High,Neutral,None,,95.76726227996004,0.1048064493165215
Wealthy,Less than HS,3.3837534089797976,Excellent,17.36305579852915,Bus,Mild,Major,None,Negative,Active,Fair,92.18551322792327,0.25705789613165264
Upper Middle,Some College,1.7446041605149416,Good,18.03930973360963,Bus,Severe,Minor,Moderate,Positive,Some,Poor,84.06978475523105,0.22344326666839331
,Bachelor,3.532565458793882,Poor,19.569502017094447,Walk,None,None,None,Neutral,None,Poor,81.22052467248365,0.35471875095726546
Wealthy,Some College,2.0217215229319923,Fair,8.98551278028145,Walk,Severe,Minor,Moderate,Negative,None,Toxic,52.72228214682205,0.7485732371904803
Below Poverty,Bachelor,3.018048236159582,Poor,0.7732358479304609,Bus,Moderate,None,Moderate,Positive,None,Toxic,50.42453599450973,0.9033225216742349
Low Income,Less than HS,3.943976118204868,Good,1.0257560167429707,Walk,None,None,High,Positive,Some,Excellent,64.94521695097572,0.4167399549364045
Below Poverty,Bachelor,3.1057523756763565,Good,24.72076779092561,None,Severe,None,High,Positive,Active,,97.25190629434836,0.4304486778657477
Low Income,Graduate,,Poor,19.187136641703344,None,Mild,Minor,Moderate,Neutral,Active,Fair,89.87783701032549,0.11290144300236848
Low Income,Bachelor,2.7602564220769708,Good,6.872776571433289,Car,None,Major,High,Neutral,Active,Fair,74.57303208879561,0.6406137548852372
Middle Class,High School,1.9196587650047021,Poor,17.158857819366496,Car,Mild,Major,None,Positive,Some,Fair,78.56097391713557,0.3501503333110072
,Less than HS,3.408395079320331,Excellent,4.241704331846135,Walk,None,Major,None,Negative,None,Excellent,89.09560478055761,0.07185956554660877
Low Income,High School,2.5289084257307684,Excellent,,Car,None,Minor,None,Negative,Some,Poor,59.20254796583316,0.9131117517299262
Wealthy,Less than HS,2.0224620888569147,Poor,22.21693025706719,Walk,Mild,Major,None,Neutral,Some,Poor,79.44241167630028,0.1536905130114412
Wealthy,Graduate,3.4242244444136927,Fair,26.821148234642788,None,Mild,,High,Positive,None,Toxic,72.74196771238626,0.25822091247637
,Bachelor,2.6872157489550696,Fair,22.506696711776367,Bus,Moderate,None,Moderate,Neutral,Active,,94.85644901534617,
Low Income,Less than HS,2.6840441144523113,Excellent,6.334644260745409,None,Moderate,Minor,High,Negative,,Toxic,71.65168769011582,0.3703089303923841
Wealthy,Some College,2.5267576828909277,Excellent,14.686138756501077,Car,Severe,None,High,Negative,None,Toxic,73.95185237254137,0.8404174327918122
Low Income,Less than HS,1.7330757832969497,Excellent,12.719826260057642,Bus,Mild,Major,Moderate,Negative,None,Toxic,88.64493336830614,0.4497921041048556
Below Poverty,Less than HS,3.0488482814275466,Poor,27.23474964065818,Walk,Mild,Major,Low,Negative,Some,Poor,57.11208819219144,0.2510014808336971
Below Poverty,Some College,2.822902360477698,Poor,7.717878738089193,Bus,Mild,None,Low,Positive,Some,Good,71.94881170695464,0.8248060434945599
Below Poverty,Less than HS,3.1970351805598245,Fair,5.599754004340273,Walk,,Major,Low,Negative,None,Excellent,99.39378355695993,0.5616864577781654
Low Income,Bachelor,2.522986165629333,Good,28.67929263585828,,Moderate,Major,Low,Positive,Active,Fair,52.149142602316196,0.27885307219991295
Wealthy,Some College,1.935002042453735,Fair,2.2711765165333535,Walk,Mild,Major,Moderate,Positive,None,Fair,98.534587853808,0.5743853683335283
Upper Middle,High School,1.878115396077468,Fair,0.9545215293716198,Walk,Severe,Major,Moderate,Positive,None,Fair,67.7203166423288,0.48423112038929395
Below Poverty,High School,2.395800121126424,Good,7.278383989478647,Bus,Severe,Minor,Low,Negative,None,Good,,0.747546795485399
Below Poverty,High School,1.6758060627699711,Excellent,20.675964717045616,Car,Mild,None,None,Negative,None,Toxic,95.07074715414976,0.4446738631647562
Upper Middle,Some College,1.5964130897883018,Excellent,8.048487133947877,Walk,Mild,Major,High,Neutral,Some,Excellent,80.7563741078966,0.9920823353870807
Low Income,Bachelor,3.845026718217768,Poor,24.815188450453153,None,None,Major,Low,Negative,None,Good,74.39145784341308,0.24025956534481097
Upper Middle,Bachelor,2.176265430732366,Excellent,7.016593106768799,Car,Mild,Minor,Low,Neutral,Active,Toxic,94.33830591929967,0.5653816212313602
Upper Middle,Graduate,1.9973898617140096,Excellent,,Bus,Moderate,Minor,Low,,None,,,0.304507102564754
Upper Middle,Some College,2.5988670558055103,Good,21.09077689999569,Walk,None,Minor,None,Negative,None,Poor,96.67738459595446,0.7174956214586458
Low Income,Graduate,1.5027038316756935,Good,20.712624794804135,Car,Severe,None,High,Neutral,Active,Good,61.2673583556592,0.888311884434033
Upper Middle,Some College,,Fair,5.674979688306013,Car,Mild,Major,None,Positive,None,Toxic,68.76144671399726,0.516694069249246
Below Poverty,Bachelor,2.9335999348030515,Poor,28.04838112996508,Walk,Mild,Minor,None,Positive,None,Good,61.73820605549574,
Middle Class,Graduate,3.923628636842044,Good,,Walk,Moderate,Major,High,Negative,Active,Good,96.35669454188974,0.23411797620000574
Middle Class,High School,3.91953471850748,Excellent,22.37800578268469,Car,None,None,None,Positive,None,Good,79.47983159044043,0.15452652975461634
Below Poverty,High School,1.5368186182243817,,2.0366813565438315,Car,Severe,Major,Moderate,Positive,Some,Poor,90.3082395041649,0.3898754059578292
Wealthy,High School,2.000185056504294,,25.80625000562646,Walk,Moderate,None,Moderate,Positive,None,Poor,83.55156129475571,0.9748242192638392
Wealthy,Bachelor,2.467661128754425,Excellent,,Bus,None,Minor,Low,Neutral,None,Excellent,68.41654218617813,0.8788977933893405
Below Poverty,Some College,2.302019114458279,Good,9.315732156272817,None,Severe,None,Moderate,Positive,,Toxic,77.98888793701184,0.8337381307511738
Below Poverty,Bachelor,2.395478515665826,Excellent,24.870526028391737,Walk,None,Minor,None,Neutral,Some,Toxic,75.70618263400478,0.8395425608910295
Wealthy,Graduate,3.4009518288254728,Excellent,5.30532193204572,Car,Moderate,Minor,None,Negative,Active,Fair,75.02849306420364,0.3206499016370701
Upper Middle,Graduate,1.8806509855942917,Fair,21.45986306938768,Bus,None,None,None,Neutral,Active,Poor,92.72352083529239,
Below Poverty,Graduate,3.699674961049061,,9.448807069755173,Walk,Severe,Minor,Moderate,Neutral,Some,Excellent,95.28730796173505,0.015160994244164172
,Less than HS,3.8741618612463258,Excellent,26.03906392822669,Walk,None,Minor,Moderate,Positive,None,Fair,58.3491478376851,0.3650634496534043
Low Income,Bachelor,3.1758410800489574,Excellent,7.205193302886848,Walk,Mild,None,High,Negative,Active,Toxic,63.03823080417065,0.6749868185806497
Low Income,Graduate,,,16.51341959820721,,Mild,None,Moderate,Positive,,Excellent,66.19965285580025,0.21968671388607808
Upper Middle,Graduate,3.1233355145066772,,19.590312371208668,None,None,Major,Moderate,Negative,None,Toxic,,0.2640612321611304
Low Income,Bachelor,2.943870698651084,Good,14.139098092302195,Walk,Mild,Minor,High,Neutral,None,Toxic,60.21561028871214,0.6713458093703668
Low Income,Bachelor,1.6358638216813681,Fair,29.688754659078324,,Severe,Major,None,Negative,None,Poor,99.87945608436821,
Upper Middle,Bachelor,3.0543447027714894,,13.850439695559928,Bus,,Minor,High,,Some,Good,57.62531353708544,0.6489939488085585
Wealthy,,3.482943160236462,Good,25.873363304874275,None,Severe,Major,High,Positive,Active,,94.24765077390582,0.5773346420111303
Upper Middle,High School,2.365520201013864,Fair,12.670729906242995,Bus,Moderate,None,None,Positive,Active,Toxic,,0.949661992974461
Below Poverty,Graduate,3.383059135433047,Fair,11.12909127501511,None,,Major,High,Neutral,Active,Fair,90.16979714614669,0.9683436347219329
Below Poverty,High School,2.8522191502430942,Excellent,3.7435138009585205,Car,None,Major,High,Positive,None,Poor,91.12568200246538,0.26654160485015577
Middle Class,Graduate,3.7473201494655792,Excellent,5.9175513225297784,None,Mild,None,High,Positive,Active,Fair,63.56818974144173,0.6336454656474664
Wealthy,Graduate,3.9482597398767125,Excellent,23.54692604922455,None,Moderate,Minor,Low,Positive,Active,Good,52.374219437279876,
Upper Middle,Some College,1.8097642881167564,Excellent,6.504762979422929,Car,None,Major,High,Positive,None,Toxic,92.7673020707191,0.05195894253352329
Low Income,High School,2.5974471987882155,Fair,10.893726355958574,Walk,Mild,None,High,Positive,None,Good,56.39376959811091,0.135439941141281
Upper Middle,Bachelor,,Fair,3.1266816746069765,Walk,Moderate,Minor,None,Negative,Active,Toxic,98.38748451063911,0.383979981564469
Below Poverty,Some College,3.6717372594079434,Excellent,24.27594171362692,Car,,Minor,None,Negative,,Fair,71.67036978797785,0.3206279381699564
Middle Class,Less than HS,2.782556524097182,Poor,20.95946929162259,Bus,Moderate,Major,,Neutral,Active,Excellent,86.89911381920066,0.30458653050183615
Upper Middle,Graduate,2.5795277760846567,Fair,2.526310419508715,Walk,None,None,High,Negative,Some,Fair,50.01662644597039,0.18594166313583982
Low Income,Less than HS,2.607215068273378,,13.202700649588458,Car,Mild,Minor,,Neutral,Active,Poor,59.19256949059617,0.9734508527107419
Below Poverty,Graduate,1.5216440358446501,Poor,19.624459360443243,Bus,Severe,Major,Moderate,Negative,Some,Poor,58.99385696896031,0.8765585460399786
Low Income,Some College,2.152557594664608,Fair,15.493087747047346,Bus,Severe,Minor,Low,Neutral,Active,Excellent,53.731733717477,0.05075317337036611
Upper Middle,High School,2.631373436953024,Excellent,24.607940444233574,Bus,None,None,None,Negative,Active,Fair,50.181960241845154,0.9973631352013308
Low Income,High School,2.260238032823059,Good,27.321017735154932,,Moderate,None,None,Neutral,None,Excellent,59.02859077110185,0.027014999402824924
Upper Middle,Bachelor,3.426909533354863,Fair,4.013461228585129,Walk,Moderate,Major,High,Positive,None,Excellent,88.28913593594812,0.09024703470186168
Wealthy,Less than HS,3.6874356834795847,Fair,28.020956434760887,Bus,,None,High,Positive,Some,Good,58.94772932406003,0.6583109059167204
Low Income,Bachelor,2.1157296778125367,Poor,22.938938957783137,None,Severe,Major,Low,Neutral,Some,,91.73324624042073,0.16420233919148253
Below Poverty,Some College,3.871346026722834,Good,8.591467783977825,,Moderate,Major,High,Positive,Some,Excellent,73.87962818968879,0.15471821637086558
Below Poverty,Some College,3.3726313366334546,Fair,,Walk,None,Minor,High,Positive,None,Good,55.755608422754065,0.17746725283428677
Upper Middle,Some College,2.4871316492890934,Fair,16.838551529311033,None,Mild,Minor,Low,Negative,Active,Good,97.22544141990518,0.9976518180801753
Below Poverty,Some College,3.419129574336706,Fair,25.56892199177538,Bus,None,Major,Moderate,Neutral,Some,Poor,76.01125701394022,0.4832282829663659
Middle Class,High School,2.427501906722676,Excellent,8.207604886336016,Car,Severe,Major,Moderate,Negative,None,Toxic,92.14487770994496,0.5449990002029456
Below Poverty,Less than HS,2.2674828169747983,Excellent,26.675902147439235,Car,Mild,None,High,Negative,None,Poor,80.69875381614021,0.6518136865194498
Low Income,Some College,3.630899677103434,Poor,5.743532477992671,Bus,Moderate,Major,Low,Neutral,None,Fair,64.66100280963315,0.86432995541351
Wealthy,High School,1.5476859746677452,Good,18.520649459713656,None,Severe,None,Moderate,Positive,Active,Fair,86.42072381319119,0.44931631330243993
,Bachelor,1.6296452855954164,Poor,12.193894613916251,Walk,Moderate,None,Moderate,Negative,Some,Poor,74.08372195110942,0.33541455001652054
Middle Class,Some College,2.592395801901458,,,Car,Moderate,Minor,Low,Positive,,Good,96.99606999189672,
Middle Class,Graduate,2.8293212428495265,Excellent,0.7834622819041805,Walk,Moderate,None,None,Negative,None,Fair,66.16206745202648,
Middle Class,Less than HS,3.0512130841426224,Good,6.726879545400805,None,Severe,Minor,None,Positive,None,Toxic,90.35319007354678,0.5436032226641805
Middle Class,Graduate,1.972162291374056,Good,6.814247066437113,Bus,Mild,Minor,,Positive,Some,Poor,62.46438767778793,0.9574524125857471
Middle Class,Less than HS,2.59005449466721,Excellent,2.4654269902353443,None,,Major,High,Negative,None,Fair,66.87967203522886,0.5505574095718325
Wealthy,Graduate,2.813798698823529,Fair,24.93025183676466,Car,Severe,Major,None,Positive,None,Fair,64.22115919224834,0.9240935440968187
Middle Class,High School,3.119411737761908,Good,8.40044746397561,,Severe,Major,Moderate,Positive,None,Toxic,92.77956456325808,0.9418744293660054
Middle Class,Bachelor,2.0278260940201154,Excellent,26.91081936501859,,,Minor,Low,Positive,Active,Good,90.38049196844358,0.08084244311378241
Wealthy,Less than HS,2.8877053425593107,Good,5.260035823463467,Car,Moderate,None,Moderate,Negative,Active,,69.2887081401458,0.7771194529906571
,Some College,1.8011602079837266,Good,27.42050659575026,Walk,Severe,Minor,,Positive,Some,Poor,95.59633732907318,0.35649077952661856
Low Income,Less than HS,3.532236044662649,Excellent,14.643127653191854,Bus,Severe,Minor,High,Negative,Active,Fair,85.86556249849306,0.9363620925541843
Upper Middle,Graduate,2.103944548641896,Poor,11.2900871219414,Car,None,Major,Low,Neutral,None,Fair,55.26478622025874,0.9686873191729498
Wealthy,Bachelor,3.899138610017795,Poor,18.978089376234813,Car,Moderate,None,Moderate,Positive,Some,Fair,58.72555359020288,0.11282825706016086
